Company Name, Email, Website, telephone, Fax
Madem SA Ind E Com de Madeiras, leandro@madem.com.br, http://www.madem.com.br/, +55 54 3462 5600, +55 54 3462 5900
Maillefer Extrusion Oy, info.finland@maillefer.net, http://www.maillefer.net/, +358 9 88 665 600, +358 9 88 665 771
Manentimacchine Srl, info@manentimacchine.it, http://www.manentimacchine.com/, +39 030 2524627, +39 030 2524640
Marldon Group Limited, sales@marldon.com, http://www.marldon.com/, +44 870 90 70017, +44 870 90 70016
Maschinenfabrik Niehoff GmbH & Co KG, info@niehoff.de, http://www.niehoff.de/, +49 91 22977 0, +49 91 22977 155
Mathiasen Machinery Inc, mmi@mathiasen-machinery.com, http://www.mathiasen-machinery.com/, +1 860 873 1423, +1 860 873 8866
Medek & Schörner GmbH, w.lichtscheidl@medek.at, http://www.medek.at/, +43 2245 4694-100, +43 2245 4694-900
Meisenbach GmbH, wire@meisenbach.de, http://www.umformtechnik.net/, +49 951 861 118, +49 951 861 161
Metalube Limited, post@metalube.co.uk, http://www.metalube.co.uk/, +44 161 775 7771, +44 161 775 7511
Microdia SA, infos@microdia.ch, http://www.microdia.ch/, +41 24 447 3500, +41 24 445 1228
Mikrotek Machines Ltd, mmmmm@vsnl.com, http://www.mikrotekind.com/, +91 80 2362 3090, +91 80 2362 1769
Mittal Steel Kent Wire Ltd, phil@kwil.co.uk, NaN, +44 1634 830 964, +44 1634 830 967
MSS Products Ltd, enquiries@mssproducts.com, http://www.mssproducts.com,  +44 (0)161 7039 990,  +44 (0)161 7039 991
Nanjing Zhongchao New Materials Corporation, zcnewmatrerials@163.com%20, http://www.zcnewmaterials.com/,  +86 25 6861 8183,  +86 25 6861 8143
Nano-Diamond America Inc, admin@nano-die.com, http://www.nano-die.com/, +1 434 220 0435, +1 434 220 0475
NDC Technologies Ltd, enquiries@ndcinfrared.co.uk, http://www.ndc.com/betalasermike/, +44 1621 852 244, +44 1621 856 180
NeoFil Ltd, stephen@neofilconsulting.com, NaN, +44 131 208 2965, +44
Nexans Deutschland GmbH Machines & Cryogenic Systems, uniwema.tech@nexans.com, http://www.nexans.de/mcs, +49 511 676 2749, +49 511 676 3777
Ningbo Kaite Machinery Co Ltd, kaite@kaite-machine.com, http://www.kaite-machine.com/, + 86 574 6552 8932, + 86 574 6556 2620
NOTA Zaklad Mechaniki Precyzyjnej, nota@nota.pl, http://www.nota.pl/, +48 81 444 1125, +48 81 444 1125
NV Bekaert SA, %20info@bekaert.com, http://www.bekaert.com/,  +32 5676 7055,  +32 5676 7038
OMA, oma@omabraid.it, http://www.omabraid.com/, +39 039 6251132, +39 039 6084571
Ormiston Wire Ltd, info@ormiston-wire.co.uk, http://www.ormiston-wire.co.uk/, +44 20 8569 7287, +44 20 8569 8601
P F Consultants, paulfree@outlook.com, NaN, +44 1772 745 426, NaN
Pamica Group Ltd , info@akarpat.com, http://www.pamica.com, +86-715-4337388, +86-715-4354338
Pan Pioneer Co. Ltd., info@akarpat.com, http://www.pan-pioneer.com, +886-3-4604789, +886-3-4604788
Peddington Lubricants & Coatings Pvt. Ltd, info@akarpat.com, http://www.peddingtonlubricants.com, +91 22 24910912, NaN
Pentre Group Ltd, sales@prentregroup.com, http://www.pentregroup.com/,  + 44 1942 676 331,  + 44 1942 261 878
Permanoid Ltd, sales@permanoid.co.uk, http://www.permanoid.co.uk/, +44 161 205 6161, +44 161 205 9325
PEXTRUSION Ltd., info@akarpat.com, NaN, +44 (0)7785 334977, +44 (0)1732 764965
Plasmait GmbH, info@plasmait.com, http://www.plasmait.com/, +43 3182 524 750, +43 3182 524 754
Pneuform Machines Ltd, mw@pneuform.com, http://www.pneuform.com/, +44 1252 376448, +44 1252 376447
Premier Cables (Pty) Ltd, shoaib@premiercables.net, http://www.premiercables.net/, +92 21 3439 7771, +92 21 3439 7779
Pressure Welding Machines Ltd (PWM), pwm@btinternet.com, http://www.pwmltd.co.uk/, +44 1233 820847, +44 1233 820591
Proton Products International Ltd, p.sives@protonproducts.com, http://www.protonproducts.com/, +44 1494 670 606, +44 1494 670 808
Prysmian Group, cables.marketing.uk@prysmiangroup.com, http://www.prysmiangroup.com/,  +44 2380 295 328,  + 44 2380 295 335
PS Costruzioni Meccaniche Srl, ps@pscostruzioni.com, http://www.pscostruzioni.com/, +39 039 689 8763, +39 039 689 8769
Q8Oils, wire@Q8Oils.com, http://www.q8oils.com/, +44 113 235 1904, +44 1484 228484
QED Wire Lines Inc, sales@qedwire.com, http://www.qedwire.com/, +1 450 458 1200, +1 460 458 0200
Qingfeng Electrical Technology (Hong Kong) Co Ltd, txm_qf@163.com, http://www.qfcablemc.com/,  +852 2537 4840,  +852 2522 7668
Queins Machines GmbH, info@queins.com, http://www.queins.com/, +49 2472 8080, +49 2472 3014
Qunye Electrical Co Ltd, qunye@qunye.com.cn, http://www.qunye.com.cn/, +86 514 8738 7009, +86 514 8738 3456
Rautomead Limited, sales@rautomead.com, http://www.rautomead.com/, +44 1382 622341, +44 1382 622941
Ravicab Cables Private Limited, info@akarpat.com, http://www.ravicab.com, +91 80 2669 8446, +91 80 2974 0110
Reb Mech Pvt Ltd, info@akarpat.com, http://www.rebmech.com, NaN, NaN
Reber Systematic GmbH, sales@rautomead.com, http://www.resy-filtration.com/, +49 7121 94830, +49 7121 948338
REDIES Deutschland GmbH & Co. KG, NaN, http://www.redies.com/en/en_index.php?lang=en,  +49 241 504222,  +49 241 5152305
Reelex Packaging Solutions Inc, sales@reelex.com, http://www.reelex.com/, +1 845 878 7878, +1 845 878 7884
RichardsApex , sales@richardsapex.com, http://www.richardsapex.com/, +1 215 487 1100, +1 215 487 3090
Ridgway Machines Ltd, sales@ridgwayeng.com, http://www.ridgwayeng.com/, +44 116 289 9199, +44 116 289 9147
RK Umformtechnik GmbH & Co KG, riedel@rk-umformtechnik.de, http://www.rk-umformtechnik.de/, +49 277 2583 5313, +49 277 2583 5310
Roblon A/S, info@roblon.com, http://www.roblon.com/, +45 96 20 3300, +45 96 20 3399
Rollring Industries , info@akarpat.com, http://www.rollring.com, +918033016373, NaN
Rosendahl Nextrom GmbH, office.austria@rosendahlnextrom.com, http://www.rosendahlnextrom.com/, +43 3113 5100-0, +43 3113 5100-59
Sanxin Wire Die Inc, admin@sanxinamerica.com, http://www.sanxinamerica.co/, +1 434 906 2340, +1 434 973 6622
Sarkuysan Elektrolitik Bakir San ve Tic AS, info@sarkuysan.com, http://www.sarkuysan.com/, +90 262 676 6667, +90 262 676 6688
Scapa UK Ltd, sales@scapa.com, http://www.scapa.com, +44 161 301 7424, +44 161 301 7445
Scott Precision Wire Ltd, sales@scottprecisionwire.com, http://www.scottprecisionwire.com/, +44 161 998 5533, +44 161 946 0538
Shanghai Geili Precision Dies Co Ltd, sales@geilivable.com.cn, http://www.geilivable.com.cn/,  +86 21 5769 9293,  +86 21 5765 8393
Shanghai JNL Industry Co. Ltd, manager@shjnl.com, http://www.shjnl.com,  +86 21 6658 1267,  + 86 21 6658 1237
Shanghai Kechen Wire & Cable Machinery Co Ltd, yangchi1120@hotmail.com, NaN, +86 21 3156 2614, +86 21 5165 1785
Shanghai Singcheer Technology Co Ltd, market.li@singcheer.cn, http://www.singcheer.cn/, +86 21 3127 1919, +86 21 3127 1313
SHI Kabel GmbH & Co KG, birgit.krzyzanski@shi-gruppe.de, http://www.shi-kabel.de,  +43 2234 72971,  +49 821 748 26 33 28
SI Interline, sales@cableprod.ru, http://www.cableprod.ru/,  +7 495 987 3454,  +7 495 987 3454
SIEBE Engineering GmbH , vkde@siebe.de, http://www.siebe.de/, +49 2683 30030, +49 2683 300333
Sikora AG, sales@sikora.net, NaN, +49 421 48900 0, +49 421 48900 90
Simplex Rapid s.r.l., info@simplexrapid.it, http://www.simplexrapid.it/, +39 0298 281 751, +39 0298 281 738
Sinoleader Industries Group Co Ltd, info@sinoleader.com, http://www.sinoleader.com,  +86 21 6484 9030,  +86 21 5425 9031
SKET Verseilmaschinenbau GmbH, info@sketvmb.de, http://www.sketvmb.de/, +49 391 40558 0, +49 391 40558 15
Smeets S.A. - Loypos, smeets@smeets1921.be, http://www.loypos.com/, +32 2-377-1140, +32 2-377-2407
Sneham International, info@snehamtapes.com, http://www.snehamtapes.com/, +91 831 244 1847, +91 831 244 2302
South African Wire Association, sawa@sawa.co.za, http://www.sawa.co.za/, +27 11 455 3228, +27 11 455 4277
Spring Tooling Ltd, john@stanawaywireconsulting.com, http://www.spring-tooling.co.uk/, +44 1527 876 412, +44 1527 878 990
Stonepark Consultancy Ltd, stephen@steelwireeurope.com, http://www.stonepark.co.uk/, +44 1302 539527, +44 1302 539527
Stride Supplies Ltd, info@stride-supplies.co.uk, http://www.stride-supplies.co.uk/, +44 1527 500 170, +44 1527 505 655
Supermac Industries India Ltd, sales@supermacindia.com, http://www.supermacindia.com/, +91 12 4229 1417, +91 11 2579 8674
T Fukase & Company Ltd, fukaseco@ja2.so-net.ne.jp, http://www.fukase.co.jp/, +81 43 276 0630, +81 43 276 0463
T M Associates, NaN, NaN, +44 151 426 4488, +44 151 426 5310
TapeFormers Ltd, info@tapeformers.com, http://www.tapeformers.com/, +44 1509 768186, +44 1509 768287
Techna International Ltd, sales@techna.co.uk, http://www.techna.co.uk/, +44 1923 222227, +44 1923 219700
Techno Commerce Ltd, m.hadge@techno-commerce.com, http://www.techno-commerce.com/, +44 121 270 6583, +44 121 270 6586
Technokabel SA, export@technokabel.com.pl, http://www.technokabel.com.pl/, +48 22 516 97 77, +48 22 516 97 87
The Worshipful Co of Tin Plate Workers Alias Wire Workers, j.swain@gripple.com, http://www.tinplateworkers.co.uk/, +44 114 235 1319, +44
Thompson & Hudson Wire Machinery, sales@thompsonandhudson.co.uk, http://www.thompsonandhudson.co.uk/, +44 1484 715129, +44 1484 717026
Tianjin Huayuan Times Metal Products Co Ltd, danielbdeutsch@icloud.com, http://www.huayuanwire.com/,  + 1 646 924 1692,  + 1 516 203 7497
TRAXIT International GmbH, info@traxit.de, http://www.traxit.com/, +49 2336 919100, +49 2336 91910
Troester GmbH & Co KG, info@troester.de, http://www.troester.de/, +49 511 87040, +49 511 864028
U-Gear Group, ugear999@gmail.com, http://www.ugear-group.com, +886 2 2249 0999, +886 2 2240 5083
Uhing GmbH & Co. KG, info@uhing.com, http://www.uhing.com/,  +49 4347 906-0,  +49 4347 906-40
UL International (France) SA, david.cavassa@ul.com, http://www.ul.com/,  +33 666 013 192, NaN
University of Southampton, NaN, http://www.highvoltage.ecs.soton.ac.uk/, +44 2380 593 429, +44 2380 593 709
Uniwire Ltd, info@akarpat.com, http://www.uniwire.co.uk, +44(0)1666 505 382, +44(0)1666 502 187
UNTEL KABLO A.S., info@untel.com.tr, http://www.untel.com.tr/,  +90 262 722 9330, +90 262 722 9443
UPCAST OY, info@akarpat.com, http://www.upcast.com, +358 (0)207 577 400, +358 (0)207 577 401
Uygar Makina Sanayi ve Tic Ltd Sti, info@um.com.tr, http://www.um.com.tr/,  +90 258 371 6625,  +90 258 371 7437
Vietnam Electric Cable Corp. (CADIVI), thangnt@cadivi.vn, http://www.cadivi.vn/,  +84 8382 92971,  +84 8382 99437
Vinston US Corp, info@vinstonus.com, http://www.vinstonus.com/, +1 847 972 1098, +1 847 972 1098
Warbrick International Ltd, sales@warbrick.co.uk, http://www.warbrick.co.uk/, +44 1925 268 880, +44 1925 263 540
WCISA® Wire and Cable Industry Suppliers Association®, info@wcisaonline.org, http://www.wcisaonline.org/, +1 330 864 2122, +1 330 864 5298
Weber & Scher Mfg Co Inc, webscher@webscher.com, http://www.webscher.com/, +1 908 236 8484, +1 908 236 7001
Webster & Horsfall Limited, sales@websterandhorsfall.co.uk, http://www.websterandhorsfall.co.uk/, +44 121 772 9796, +44 121 766 5816
White & Street International Ltd, enquiries@whiteandstreet.com, http://www.whiteandstreet.com/, +44 1527 67881, +44 1527 69966
Whitelegg Machines Ltd, info@whitelegg.com, http://www.whitelegg.com/, +44 1293 526230, +44 1293 538910
Windak Group, infoAmericas@windakgroup.com, http://www.windakgroup.com/,  +1 828 322 2292,  +1 828 322 1716
Wintwire Ltd, sales@wintwire.co.uk, http://www.wintwire.co.uk/, +44 1226 763 081, +44 1226 767 164
Wire & Cable Technology International, mcnulty@wiretech.com., http://www.wiretech.com/, +1 330 864 2122, +1 330 864 5298
Wire & Plastic Machinery Corporation, info@wireandplastic.com%20, http://www.wireandplastic.com/, + 1 860 860 583 4646,  + 1 860 860 589 5707
Wire Association International Inc, mcnulty@wiretech.com., http://www.wirenet.org/, +1 203 453 2777, +1 203 453 8384
Wire Lab Company, info@wirekoerner.com, http://www.wirelab.com/,  +1 216 362 0800,  +1 216 433 0007
WOLCO Sp. z.o.o., info@wolco.pl, http://www.wolco.pl/, +48 817 476 933, +48 817 477 202
WTI Fasteners Ltd, sales@wti-fasteners.co.uk, http://www.wireinserts.com/,  +44 1530 416 888,  +44 1530 564 430
XL Technologies UK Ltd, xltekuk@aol.com, http://www.xltekuk.com/, +44 7831 835 936, +44 1457 766 856
Yangzhou Havet Machinery Co.Ltd., NaN, NaN, +86 514 87658305, +86 514 87658305
YTC America Inc., smaat@ytca.com, http://www.ytca.com/, +1-805-388-9920, +1-805-388-8046
Zephyr - One Ltd, abj@zephyr-one.com, http://www.zephyr-one.com/, +44 1428 681980, NaN
Zumbach Electronic AG, sales@zumbach.ch, http://www.zumbach.com/, +41 32 356 0400, +41 32 356 0430
